reference_number,authors,date,title,source,additional_info,link_pubmed
80,"Gnadt, J.W. and Andersen, R.A.",1988,Memory related motor planning activity in posterior parietal cortex of macaque,Experimental Brain Research,"70, 216-220",https://www.ncbi.nlm.nih.gov/pubmed/3402565?dopt=Abstract
81,"Freedman, D.J. and Assad, J.A.",2006,Experience-dependent representation of visual categories in parietal cortex,Nature,"443, 85-88",https://www.ncbi.nlm.nih.gov/pubmed/16936716?dopt=Abstract
82,"Seo, H. et al.",2009,Lateral Intraparietal Cortex and Reinforcement Learning during a Mixed-Strategy Game,The Journal of Neuroscience,"29, 7278-7289",https://www.ncbi.nlm.nih.gov/pubmed/19494150?dopt=Abstract
83,"Bisley, J.W. et al.",2004,Activity of neurons in cortical area MT during a memory for motion task,Journal of Neurophysiology,"91, 286-300",https://www.ncbi.nlm.nih.gov/pubmed/14523065?dopt=Abstract
84,"Miyashita, Y. and Chang, H.S.",1988,Neuronal correlate of pictorial short-term memory in the primate temporal cortex,Nature,"331, 68-70",https://www.ncbi.nlm.nih.gov/pubmed/3340148?dopt=Abstract
85,"Cahusac, P.M. et al.",1989,Responses of hippocampal formation neurons in the monkey related to delayed spatial response and object-place memory tasks,Behavioral Brain Research,"33, 229-240",https://www.ncbi.nlm.nih.gov/pubmed/2757782?dopt=Abstract
86,"Watanabe, T. and Niki, H.",1985,Hippocampal unit activity and delayed response in the monkey,Brain Research,"325, 241-254",https://www.ncbi.nlm.nih.gov/pubmed/3978418?dopt=Abstract
87,"Ng, C.-W. et al.",2014,Neural correlates of auditory recognition memory in the primate dorsal temporal pole,Journal of Neurophysiology,"111, 455-469",https://www.ncbi.nlm.nih.gov/pubmed/24198324?dopt=Abstract
88,"Chelazzi, L. et al.",1998,Responses of neurons in inferior temporal cortex during memory-guided visual search,Journal of Neurophysiology,"80, 2918-2940",https://www.ncbi.nlm.nih.gov/pubmed/9862896?dopt=Abstract
89,"Miller, E.K. and Desimone, R.",1994,Parallel neuronal mechanisms for short-term memory,Science,"263, 520-522",https://www.ncbi.nlm.nih.gov/pubmed/8290960?dopt=Abstract
90,"Miller, E.K. et al.",1991,A neural mechanism for working and recognition memory in inferior temporal cortex,Science,"254, 1377-1379",https://www.ncbi.nlm.nih.gov/pubmed/1962197?dopt=Abstract
91,"Fuster, J.M.",1990,Inferotemporal units in selective visual attention and short-term memory,Journal of Neurophysiology,"64, 681-697",https://www.ncbi.nlm.nih.gov/pubmed/2230917?dopt=Abstract
92,"Baylis, G.C. and Rolls, E.T.",1987,Responses of neurons in the inferior temporal cortex in short term and serial recognition memory tasks,Experimental Brain Research,"65, 614-622",https://www.ncbi.nlm.nih.gov/pubmed/3556488?dopt=Abstract
93,"Fuster, J.M. and Jervey, J.P.",1981,Inferotemporal neurons distinguish and retain behaviorally relevant features of visual stimuli,Science,"212, 952-955",https://www.ncbi.nlm.nih.gov/pubmed/7233192?dopt=Abstract
94,"Mikami, A. and Kubota, K.",1980,Inferotemporal neuron activities and color discrimination with delay,Brain Research,"182, 65-78",https://www.ncbi.nlm.nih.gov/pubmed/6766080?dopt=Abstract
95,"Woloszyn, L. and Sheinberg, D.L.",2009,Neural dynamics in inferior temporal cortex during a visual working memory task,The Journal of Neuroscience,"29, 5494-5507",https://www.ncbi.nlm.nih.gov/pubmed/19403817?dopt=Abstract
96,"Supèr, H. et al.",2001,A neural correlate of working memory in the monkey primary visual cortex,Science,"293, 120-124",https://www.ncbi.nlm.nih.gov/pubmed/11441187?dopt=Abstract
97,"van Kerkoerle, T. et al.",2017,Layer-specificity in the effects of attention and working memory on activity in primary visual cortex,Nature Communications,"8, 13804",https://www.ncbi.nlm.nih.gov/pubmed/28054544?dopt=Abstract
98,"McAdams, C.J. and Maunsell, J.H.",1999,Effects of attention on orientation-tuning functions of single neurons in macaque cortical area V4,The Journal of Neuroscience,"19, 431-441",https://www.ncbi.nlm.nih.gov/pubmed/9870971?dopt=Abstract
99,"Luck, S.J. et al.",1997,"Neural Mechanisms of Spatial Selective Attention in Areas V1, V2, and V4 of Macaque Visual Cortex",Journal of Neurophysiology,"77, 24-42",https://www.ncbi.nlm.nih.gov/pubmed/9120566?dopt=Abstract
100,"Hayden, B.Y. and Gallant, J.L.",2013,Working memory and decision processes in visual area v4,Frontiers in Neuroscience,"7, 18",https://www.ncbi.nlm.nih.gov/pubmed/23550043?dopt=Abstract
101,"Chelazzi, L. et al.",2001,Responses of neurons in macaque area V4 during memory-guided visual search,Cerebral Cortex,"11, 761-772",https://www.ncbi.nlm.nih.gov/pubmed/11459766?dopt=Abstract
102,"Takaura, K. et al.",2011,Neural substrate of spatial memory in the superior colliculus after damage to the primary visual cortex,The Journal of Neuroscience,"31, 4233-4241",https://www.ncbi.nlm.nih.gov/pubmed/21411664?dopt=Abstract
103,"Watanabe, Y. and Funahashi, S.",2004,"Neuronal activity throughout the primate mediodorsal nucleus of the thalamus during oculomotor delayed-responses. I. Cue-, delay-, and response-period activity",Journal of Neurophysiology,"92, 1738-1755",https://www.ncbi.nlm.nih.gov/pubmed/15140911?dopt=Abstract
104,"Camarillo, L. et al.",2012,Coding perceptual discrimination in the somatosensory thalamus,PNAS,"109, 21093-21098",https://www.ncbi.nlm.nih.gov/pubmed/23213243?dopt=Abstract
105,"Hikosaka, O. et al.",1989,Functional properties of monkey caudate neurons. I. Activities related to saccadic eye movements,Journal of Neurophysiology,"61, 780-798",https://www.ncbi.nlm.nih.gov/pubmed/2723720?dopt=Abstract
